scalar,RGB_r,RGB_g,RGB_b
0.2720156556,0.2801473611,0.2810281489,0.2878510542
0.2739726027,0.2818148176,0.2826115924,0.2893349138
0.2759295499,0.2834839576,0.2841965089,0.2908199178
0.2778864971,0.2851547762,0.2857828942,0.2923060633
0.2798434442,0.2868272689,0.2873707441,0.2937933477
0.2818003914,0.2885014310,0.2889600547,0.2952817680
0.2837573386,0.2901772578,0.2905508219,0.2967713216
0.2857142857,0.2918547447,0.2921430415,0.2982620056
0.2876712329,0.2935338873,0.2937367096,0.2997538173
0.2896281800,0.2952146809,0.2953318223,0.3012467540
0.2915851272,0.2968971210,0.2969283754,0.3027408130
0.2935420744,0.2985812033,0.2985263651,0.3042359914
0.2954990215,0.3002669231,0.3001257875,0.3057322868
0.2974559687,0.3019542761,0.3017266386,0.3072296963
0.2994129159,0.3036432579,0.3033289147,0.3087282173
0.3013698630,0.3053338642,0.3049326118,0.3102278472
0.3033268102,0.3070260905,0.3065377262,0.3117285833
0.3052837573,0.3087199326,0.3081442540,0.3132304229
0.3072407045,0.3104153863,0.3097521915,0.3147333635
0.3091976517,0.3121124472,0.3113615349,0.3162374025
0.3111545988,0.3138111111,0.3129722805,0.3177425372
0.3131115460,0.3155113739,0.3145844246,0.3192487651
0.3150684932,0.3172132313,0.3161979635,0.3207560837
0.3170254403,0.3189166791,0.3178128936,0.3222644903
0.3189823875,0.3206217134,0.3194292113,0.3237739824
0.3209393346,0.3223283299,0.3210469128,0.3252845576
0.3228962818,0.3240365247,0.3226659946,0.3267962132
0.3248532290,0.3257462935,0.3242864532,0.3283089468
0.3268101761,0.3274576325,0.3259082850,0.3298227559
0.3287671233,0.3291705376,0.3275314865,0.3313376380
0.3307240705,0.3308850049,0.3291560541,0.3328535907
0.3326810176,0.3326010304,0.3307819844,0.3343706114
0.3346379648,0.3343186101,0.3324092739,0.3358886978
0.3365949119,0.3360377401,0.3340379192,0.3374078474
0.3385518591,0.3377584167,0.3356679168,0.3389280577
0.3405088063,0.3394806358,0.3372992634,0.3404493265
0.3424657534,0.3412043938,0.3389319555,0.3419716512
0.3444227006,0.3429296867,0.3405659897,0.3434950295
0.3463796477,0.3446565107,0.3422013629,0.3450194591
0.3483365949,0.3463848622,0.3438380715,0.3465449375
0.3502935421,0.3481147373,0.3454761123,0.3480714624
0.3522504892,0.3498461324,0.3471154820,0.3495990315
0.3542074364,0.3515790436,0.3487561774,0.3511276424
0.3561643836,0.3533134674,0.3503981951,0.3526572928
0.3581213307,0.3550494001,0.3520415320,0.3541879804
0.3600782779,0.3567868380,0.3536861849,0.3557197030
0.3620352250,0.3585257775,0.3553321505,0.3572524581
0.3639921722,0.3602662150,0.3569794256,0.3587862437
0.3659491194,0.3620081470,0.3586280072,0.3603210573
0.3679060665,0.3637515698,0.3602778920,0.3618568967
